GENE,GWAS,LOC_NUM
ZNF705D,META5,37
CNOT7,META5,38
FGF20,META5,38
MICU3,META5,38
MIR548V,META5,38
MSR1,META5,38
MTMR7,META5,38
MTUS1,META5,38
PDGFRL,META5,38
SLC7A2,META5,38
VPS37A,META5,38
ZDHHC2,META5,38
BIN3,META5,39
BIN3-IT1,META5,39
BMP1,META5,39
C8orf58,META5,39
CCAR2,META5,39
CHMP7,META5,39
DMTN,META5,39
DOK2,META5,39
EGR3,META5,39
ENTPD4,META5,39
FAM160B2,META5,39
FGF17,META5,39
GFRA2,META5,39
HR,META5,39
LGI3,META5,39
LOC100507071,META5,39
LOC100507156,META5,39
LOC101929237,META5,39
LOC107986876,META5,39
LOC254896,META5,39
LOC286059,META5,39
LOC389641,META5,39
LOXL2,META5,39
MIR320A,META5,39
NPM2,META5,39
NUDT18,META5,39
PDLIM2,META5,39
PEBP4,META5,39
PHYHIP,META5,39
PIWIL2,META5,39
POLR3D,META5,39
PPP3CC,META5,39
R3HCC1,META5,39
REEP4,META5,39
RHOBTB2,META5,39
SFTPC,META5,39
SLC25A37,META5,39
SLC39A14,META5,39
SORBS3,META5,39
TNFRSF10A,META5,39
TNFRSF10B,META5,39
TNFRSF10C,META5,39
TNFRSF10D,META5,39
XPO7,META5,39
ADCY8,META5,40
ASAP1,META5,40
ASAP1-IT1,META5,40
ASAP1-IT2,META5,40
CCDC26,META5,40
FAM49B,META5,40
GSDMC,META5,40
LINC00976,META5,40
LINC00977,META5,40
MIR3686,META5,40
MIR5194,META5,40
ADAMTSL1,META5,41
BNC2,META5,41
BNC2-AS1,META5,41
CNTLN,META5,41
MIR3152,META5,41
SH3GL2,META5,41
ANKRD18B,META5,42
ANXA2P2,META5,42
AQP3,META5,42
AQP7,META5,42
ARID3C,META5,42
B4GALT1,META5,42
B4GALT1-AS1,META5,42
BAG1,META5,42
C9orf131,META5,42
C9orf24,META5,42
CCL19,META5,42
CCL21,META5,42
CCL27,META5,42
CHMP5,META5,42
CNTFR,META5,42
CNTFR-AS1,META5,42
DCAF12,META5,42
DCTN3,META5,42
DNAI1,META5,42
DNAJB5,META5,42
DNAJB5-DT,META5,42
ENHO,META5,42
FAM205A,META5,42
FAM205BP,META5,42
FAM205C,META5,42
FAM219A,META5,42
GALT,META5,42
IL11RA,META5,42
KIF24,META5,42
LINC01251,META5,42
LOC730098,META5,42
MIR12117,META5,42
MIR6851,META5,42
