"GWAS","LOC_NUM","GENE","Pubmed hits","Pubmed hits gene only"
"META5",20,"FAM200B",0,0
"META5",20,"FBXL5",3,58
"META5",20,"FGFBP1",0,38
"META5",20,"FGFBP2",0,12
"META5",20,"LDB2",0,32
"META5",20,"LINC00504",0,3
"META5",20,"LOC101929095",0,0
"META5",20,"PROM1",0,209
"META5",20,"TAPT1",0,10
"META5",20,"TAPT1-AS1",0,0
"META5",21,"CLRN2",0,2
"META5",21,"DCAF16",0,5
"META5",21,"FAM184B",0,9
"META5",21,"LAP3",0,73
"META5",21,"LCORL",0,74
"META5",21,"LINC02493",0,0
"META5",21,"MED28",0,25
"META5",21,"NCAPG",0,107
"META5",21,"QDPR",2,57
"META5",21,"SNORA75B",0,0
"META5",22,"ART3",0,37
"META5",22,"CCDC158",0,3
"META5",22,"CCNG2",0,87
"META5",22,"CCNI",0,17
"META5",22,"CDKL2",0,15
"META5",22,"CXCL10",13,4534
"META5",22,"CXCL11",0,990
"META5",22,"CXCL9",0,1939
"META5",22,"FAM47E",2,3
"META5",22,"FAM47E-STBD1",0,0
"META5",22,"G3BP2",0,48
"META5",22,"LINC02483",0,0
"META5",22,"LOC101928809",0,0
"META5",22,"MIR4450",0,0
"META5",22,"MIR548AH",0,0
"META5",22,"NAAA",1,121
"META5",22,"NUP54",0,23
"META5",22,"ODAPH",0,0
"META5",22,"PPEF2",1,10
"META5",22,"RCHY1",0,11
"META5",22,"SCARB2",17,138
"META5",22,"SDAD1",0,6
"META5",22,"SEPTIN11",0,3
"META5",22,"SHROOM3",0,66
"META5",22,"SOWAHB",0,1
"META5",22,"STBD1",3,16
"META5",22,"THAP6",0,1
"META5",22,"USO1",0,30
"META5",23,"CCSER1",1,8
"META5",23,"FAM13A",0,87
"META5",23,"FAM13A-AS1",0,0
"META5",23,"GPRIN3",1,2
"META5",23,"HERC3",0,17
"META5",23,"MMRN1",4,26
"META5",23,"SNCA",659,983
"META5",23,"SNCA-AS1",0,0
"META5",23,"TIGD2",0,0
"META5",24,"ANK2",4,117
"META5",24,"ARSJ",0,8
"META5",24,"CAMK2D",1,59
"META5",24,"LARP7",0,59
"META5",24,"LOC105377372",0,0
"META5",24,"MIR1243",0,3
"META5",24,"MIR302A",0,12
"META5",24,"MIR302B",0,7
"META5",24,"MIR302C",0,4
"META5",24,"MIR302CHG",0,0
"META5",24,"MIR302D",0,1
"META5",24,"MIR367",0,5
"META5",24,"MIR8082",0,0
"META5",24,"NEUROG2",2,135
"META5",24,"ZGRF1",0,4
"META5",25,"AADAT",0,22
"META5",25,"CBR4",0,82
"META5",25,"CLCN3",0,71
