"Gene","GTEX_BRAIN_all","GTEX_nigra","Astrocyte","DaN","Endothelial","GABA","Microglia","ODC","OPC"
"THAP6",3.15323316925407,2.55692246376812,59.4159982026774,19.8104333444934,49.8158912140067,35.9930146214966,30.8657951397821,80.1317528576213,58.1397601269818
"THBS3",9.95831760696706,4.25169565217391,23.1752986180271,5.46518369982432,28.5831608783792,10.5443323310269,2.14610607915256,3.47764522367834,2.94461283184483
"THCAT158",0.205047304051496,0.239966304347826,NA,NA,NA,NA,NA,NA,NA
"THOP1",23.6467712987505,11.7072826086957,20.5378147312272,33.3292338895559,3.88851045567686,19.9133476469358,7.75806848469912,20.9724589531171,27.4170430041223
"THYN1",57.2869341158652,34.7984927536232,32.1689968505321,31.0789721901492,89.9106977723401,66.7899970528427,43.5358310594215,40.5247835582624,82.9154166699018
"TIAL1",23.9832945853843,16.8512463768116,86.0856301502543,54.6490535401058,51.1854663653461,36.0229435165428,100.888798708364,111.528502240628,67.0449784875486
"TIFAB",0.0290485778114351,0.056574615942029,0,0.676582662163332,0,0,0.464511334076551,0.128324404093549,0
"TIGD2",2.31579432033321,1.61208695652174,1.9932763176854,9.42342880743074,0,3.19004685570586,2.16990343929695,1.45853070969674,5.16251962316868
"TIMM13",40.7667114729269,41.8884057971014,51.0773981083635,156.755283929512,87.946693281455,119.330549263992,49.1849528246994,61.3093871243541,102.392802888149
"TIMP2",68.4652586141613,75.8018115942029,99.4877023499837,70.2116775323285,140.662528292572,149.276934943477,170.146285580888,229.024038081674,108.141213814556
"TK1",2.92655549791746,1.91726014492754,1.91634627340773,0.542026572310681,0.885667421255309,8.69242327102458,0,5.95305585645465,0.14790774875384
"TLCD3B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TLE2",95.9522874290042,16.2700507246377,17.7521459570145,6.157817199019,15.0837718612251,43.8017667086345,17.3310612545865,32.0383767494439,17.4804188484415
"TLE5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TLE6",0.906842457402499,0.733362173913043,2.14416384044963,6.91083731603799,0,3.64495832500245,8.20343984712942,3.8401934434103,7.55976219103693
"TLK2",8.89440022718667,8.05223188405797,100.74027940158,70.3799604422354,65.3334216406892,52.0821570602135,118.323594363294,111.648535824522,93.4706942887517
"TLN2",12.6864928057554,7.99976811594203,195.726516512108,157.540247079598,85.6050877705153,158.876456623432,336.900616391071,158.296105450591,161.934117282375
"TMA7",310.138390761075,307.322463768116,144.188474831187,227.860326425239,302.800404381777,246.201850183344,113.697168485258,160.843101543012,160.348727468484
"TMC5",0.0907630632336236,0.12581102173913,11.4048269538085,13.6237247125601,13.2725088020583,14.7454433246256,24.4910521627865,13.3755433739838,8.21673555134518
"TMC6",13.3709841726619,26.6998913043478,62.6456884504411,31.4199325133855,162.022005744394,11.3370292837374,122.257462930897,170.799987935168,24.6473180043483
"TMC7",5.7551959863688,7.28267391304348,61.1967687052797,27.4914250091145,106.111151846238,25.6164266405525,81.8707035640157,135.06677063736,28.0788955363396
"TMC8",2.475284812571,4.0620652173913,15.6646426846526,2.65341504923881,9.48915387911457,3.64754781783684,93.3805893011849,8.90910421492031,8.7572810367669
"TMCC2",53.021357819008,53.5304347826087,57.0158738244512,34.8381269384521,36.499926906343,19.9774640702716,53.6608292382844,115.511153072846,24.6786392804824
"TMED10",49.1937463082166,50.9221014492754,150.613539513102,118.791545314006,162.181114984388,83.2866934641852,128.515514444611,226.607296596841,155.380696082077
"TMED11P",0.103942983718289,0.0100605797101449,NA,NA,NA,NA,NA,NA,NA
"TMED2",32.1750734570239,31.0901014492754,55.605406931236,123.129227928026,162.807724129726,102.167073149573,46.9238449350995,75.4038759941714,94.6515680118802
"TMED2-DT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEM101",8.61622302158273,8.43036956521739,22.52837539118,36.968407643825,54.7238459203639,28.0245837511881,17.538102248629,19.7073932176873,24.1778486138167
"TMEM102",0.896511741764483,1.4488615942029,0.416639585093635,0,0,0,0,0.355980257012235,0
"TMEM106A",0.937845879969708,1.41881594202899,26.51693086353,3.45815360724627,13.4667785048285,18.7094861572211,89.5790638111737,8.01190949254021,15.362929560397
"TMEM107",5.58572801968951,3.95164710144928,13.8586798567132,33.0266131479236,13.0471448496731,19.7555931020155,29.2985765911732,4.68401205909664,4.27370344680413
"TMEM127",19.6230647482014,12.7380579710145,13.9947525879851,27.6668015782896,10.8129623622594,26.0319318047808,15.9546010398264,10.3005590656048,12.700477475988
"TMEM129",36.4503790230973,31.3977246376812,25.5032999571616,33.0603181425129,19.0622116649267,16.1420221380429,19.455499169854,20.7482403603909,27.897624514306
"TMEM14EP",0.0569297387353275,0.0367786956521739,NA,NA,NA,NA,NA,NA,NA
"TMEM163",27.5438985990155,10.9522876811594,76.1206991773903,23.6654816067479,34.6203365765598,152.639658116328,401.83759145304,59.2709655850729,172.807307873471
"TMEM175",46.6745285876562,26.9681884057971,58.7236633797275,88.5660065410254,22.3558215069998,83.5810378634095,47.6231345248604,64.7361834078392,64.6880999477233
"TMEM182",0.981761495645589,0.926651666666667,5.1226152846645,11.5840448497389,2.02905608311014,15.986972314429,3.37381916329286,5.36104897453923,9.30867112452691
"TMEM219",66.0393563044301,70.7728985507246,82.7193190009175,54.5623200726778,75.8275792893746,80.0856933228146,97.396454239564,119.432553996269,72.3616496461214
"TMEM230",45.3798992805755,57.3173188405797,83.2884158557518,217.699177380179,167.949925091385,191.354018461844,80.7685532883642,158.550366407215,74.1888008954937
"TMEM235",16.9798939795532,29.0254710144928,48.8845550842378,10.7201386415011,107.411041778796,12.8792398794067,80.938258657073,173.674288372481,33.3574810105897
"TMEM248",32.0155463839455,21.0269275362319,39.0170850303645,31.6048710040057,142.66188153887,32.258737790111,39.1914901642419,33.8882040012817,48.9087123849825
"TMEM256",41.7523820522529,54.8440579710145,NA,NA,NA,NA,NA,NA,NA
"TMEM256-PLSCR3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEM265",27.8243619840969,16.051847826087,NA,NA,NA,NA,NA,NA,NA
"TMEM271",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEM38B",3.79413233623627,4.86494927536232,27.859406470976,27.2400305476359,14.8778252746233,38.6462700893963,24.3634852040425,40.9561281157682,96.7221461896413
"TMEM63A",17.5119858765619,34.3418695652174,110.58816260035,27.0653484695283,133.239893127464,29.0124058061161,103.485692458641,311.56778670936,51.7192727919883
"TMEM81",9.78465982582355,4.53955072463768,2.71639043784819,2.99262266766432,0,4.49405528275937,3.8419956309784,1.74981263173707,2.63671360016875
"TMEM88",6.88085111700114,8.12657246376812,1.61914058010015,1.90735648039973,57.2868752385946,1.77706695099738,0.44310528181496,0.154480333761697,6.89666432864415
"TMEM89",0.0605959257856872,0.0322684782608696,NA,NA,NA,NA,NA,NA,NA
"TMEM95",0.0424079666792882,0.0491976811594203,NA,NA,NA,NA,NA,NA,NA
"TMPRSS9",0.284979186293071,0.138411405797101,20.2070537302346,14.2875948799514,23.0656761934264,17.1462588771306,53.9627385877605,12.3680605059188,19.316545295248
"TMUB2",23.6378826202196,13.8099637681159,50.6992729323835,35.9657496478318,39.597694540843,64.1154117422529,63.7333464885236,34.4416876651282,51.0567689808748
"TNFRSF10A",0.975297678909504,1.40202101449275,5.9427086118719,1.28493744924497,28.3459349093213,4.18996824989796,22.0782587084253,8.38445516439769,2.08600428887489
"TNFRSF10B",6.11404350624763,7.05566666666667,68.7510728746751,0.676582662163332,94.4774976354818,2.21900206551861,74.7999666013368,4.72928012048928,26.4696865960947
"TNFRSF10C",0.52456786823173,0.682351086956522,1.6112798130564,1.55478438250183,0,0.778519707058605,9.69753396958664,1.9946491847162,2.86782138372973
"TNFRSF10D",2.36964895872775,3.24598913043478,14.6728531120548,0,116.835052853035,0.799968641229263,186.193335117497,2.08515549305297,7.82396212866511
"TNFSF12",42.8826357440363,31.0705797101449,NA,NA,NA,NA,NA,NA,NA
"TNFSF12-TNFSF13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TNFSF13",26.7632695948504,24.9816666666667,NA,NA,NA,NA,NA,NA,NA
"TNK1",5.95512452480121,0.357744130434783,0.609645320545412,0,0,0,0,0.600571759999241,1.18845581558969
