"GENE","Pval.Imputed","Pval.Exome"
"HIGD1B",0.196588,0.158004412944935
"HIP1R",0.0346104,0.130690147125392
"HIRIP3",0.823223,0.355715848082785
"HIST1H1B",0.852091,0.137116297281822
"HIST1H2AG",NA,5.32037086429238e-05
"HIST1H2AH",0.00100818,0.0750963292015245
"HIST1H2AI",0.74418,0.0816374132476558
"HIST1H2AJ",NA,0.234119719227076
"HIST1H2AK",0.730342,0.000873660805148946
"HIST1H2AL",NA,0.316214370439989
"HIST1H2AM",NA,0.0515208539318927
"HIST1H2BJ",NA,0.14594697740203
"HIST1H2BK",NA,0.0672826116982459
"HIST1H2BL",NA,0.511775590884445
"HIST1H2BM",NA,0.152310842372147
"HIST1H2BN",NA,0.291681704641693
"HIST1H2BO",NA,0.905305613081889
"HIST1H3H",NA,0.377510952301266
"HIST1H3I",NA,0.611904259248394
"HIST1H3J",NA,0.0315020722039858
